127.0.0.1 - - [29/Sep/2018:23:35:25 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:35:26 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:35:26 +0900] "GET /loginForm.do HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:35:26 +0900] "GET /resources/dist/css/bootstrap.min.css HTTP/1.1" 200 113137
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:35:26 +0900] "GET /resources/img/BCMS.png HTTP/1.1" 200 40592
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:35:33 +0900] "GET /loginForm.do HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:35:33 +0900] "GET /resources/dist/css/bootstrap.min.css HTTP/1.1" 200 113137
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:35:33 +0900] "GET /resources/img/BCMS.png HTTP/1.1" 200 40592
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:35:34 +0900] "GET /favicon.ico HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:36:17 +0900] "POST /login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:36:17 +0900] "GET /nmeCardSelectForm.do HTTP/1.1" 200 19416
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:36:17 +0900] "GET /resources/dist/css/css/normalize.css HTTP/1.1" 200 6875
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:36:17 +0900] "GET /resources/dist/css/css/default.css HTTP/1.1" 200 11540
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:36:17 +0900] "GET /resources/dist/css/bootstrap.css HTTP/1.1" 200 121824
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:36:17 +0900] "GET /resources/dist/css/ui.css HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:36:17 +0900] "GET /resources/img/PLUS.png HTTP/1.1" 200 42648
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:36:17 +0900] "GET /resources/dist/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:36:17 +0900] "GET /resources/dist/js/selectize/selectize.js HTTP/1.1" 200 98602
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:36:17 +0900] "GET /resources/dist/js/jquery-ui.js HTTP/1.1" 200 470596
0:0:0:0:0:0:0:1 - - [29/Sep/2018:23:36:18 +0900] "GET /resources/dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 16448
